Invoice,Text
0117002202_1,"SHREENIDHI SHIPPING PVT LTD.

SHIPPING CLEARING AND FORWARDING AGENT
No.1, ANGAPPA NAICKEN STREET,GROUND FLOOR
CHENNAI-600 001.Ph:044-25242393 Fax:044-43517120
S.T.REGN. NO.AASCS8890BSD001
INVOICE-EXPORT

M/s.Amararaja Batteries Ltd.,
Renigunta Cuddapah Road,
Karakambadi, tirupati. -NO. 003/2016-17.
BATTERIES ; 02x20'
1700200005,007 / 04.04.17 i s TCKU3252711,TCKU3333979
5209093/04.04.17 20 Pallets
2,499,215.04 i 33106 KGS
05.04.17

Re-Imburseble Reimb bI
SLNo. Particulars Non Taxable : — ie e
amount axable Amount
1 ;

CFS Charges (Rs.1840: CWC)
Fumigation Services Charges (Rs.100.00)
Certificate of orgin charges (Rs.150x1)

Transport Charges From Renigunta to Chennai (Rs.17570x2)
(Service Tax Payable by Consignee)

Documentation Charges

Customs Inspection/Examination Charges (Rs.600x02)

Service Charges (Rs.1000x02)

Total
Service Tax @ 14.00%
Swachh Bharat Cess @ 0.5%
Krishi Kalyan Cess @ 0.5%
Sub-Total

Grand Total 4
Export Invoice Number
Prepared By

i""

Checked/Verified By"
0117002202_10,"DV sonnson Wi AMARA RAJA BATTERIES LIMITED

 

 

¥ i Controls ae ‘Tirupathi coc Pradesh INDIA e Q og oF 3 o £:
ye IEC No:0988006723 ‘TIN No:37630118190 ;
INVOICE
Exporter/Manufacturer/Producer/Processor Iny No.& Date Exporter's Ref:
Amara Raja Batteries Ltd 0020000 Dt.04.04.20 00428
Karakambadi Tirupathi Buyer's ref No. & Date
Andhra Pradesh, INDIA.,517520 P.O .No: NWBTE/170217(AFMKT)#8 = Date: = 17.02.2017
Tel: Fax: 0877-2285600
Consignee Buyer Other than Consignee
NW BATTERIEN TRADING NW BATTERIEN TRADING
ENTERPRISE PTE LTD ENTERPRISE PTE LTD 53 Ubi Ave 1,#03-39 &
53 Ubi Ave 1,#03-39 & #03-40,Paya Ubi Industrial Park
#03-40,Paya Ubi Industrial Park 408934 Singapore

408934 Singapore
Notify Party

 

Country of origin goods Country of Final Destination
P ndio Singapore
Place of receipt by ‘Terms of Delivery & payment: CFR Singapore
Carriage By: Pre carrier CFR singapore, 100%Payment.40daysafterDateofBillofLading, BNP pareattegiee
Set Towers, 101,Ground Floor 8-2-269/10,Road No, 2, Banjara Hills, Hyderabad # 5Q0

Sea ort of Loading 034. INDIA , IndiaAccountNo.09378 10572300136

Kattupalli

Port of Discharge Final destination

Singapore

 

No.& Kind of Pkgs Description of Goods
Amara Raja Batteries Ltd. 10 Wooden Pallets Stuffed in to 1x20' —_ | LeadAcidStorageBatteriesofalltypes-
Made in India. COntainer, 12VMF(WET)LeadAcidAmaron-
HiLifeSLIBATTERIESHSCODE:8507. 1000
Marks Container No Seal No Item Code Colour ty(Nos Rate/Unit Total Amount
TCKU 333397-9 BVKS 00684 EAM-PR-00065B24L GREEN 256 36.66 9,384.96
EAM-HL-00042B20L GREEN 1,280

26.70

 
  

 

ICNo : NA LC Date:
Amount in Words: (USD FORTY-THREE THOUSAND FIVE HUNDRED SIXTY AND NINETY-SIX CENTS ONLY)
P.1 1600800842 DT 21..02.2017

Declaration: We declare that this Invoice shows the actual price of the goods described and that all particulars are true and correct.

 

Bank Address:"
0117002202_11,"BATTERIES LIMIZS© t
()

x y) AMARA RAJA
Johnson (( See see
? Karakambadi Tirupathi Andhra Pradesh INDIA
nua controls ; |
: IEC No:0988006723 TIN No:376301 18190 VY

  
 
  
       
     
   
  
     

ow

Ex: crier/Manufacturer/Producer/Proc

Amara Raja Batteries Ltd
Karakambadi Tirupathi
Andhi INDIA.,517520

‘ 285600
Buyer Other than Consignee
NW BATTERIEN TRADING
ENTERPRISE PTELTD 53 Ubi Ave 1,#03-39 &
#03-40,Paya Ubi Industrial P
408934 Singapore

    
 
 

 
   
      
    
 
 
 
 
 
  

Buyer's ref No. & Date
P.O .No: NWBTE/170217(AFM

 

KT)#3 Date: 17.02.2017

  
   

  
  

  
 

NW BATTERIEN TRADING
ENTERPRISE PTE LTD

53 Ubi Ave 1,#03-39 &
403-40,Paya Ubi Industrial Park

408934 Sing
Notify Party

ark

 
 
     
   
 
 

 

apore,

  
 
  

 

ry of Final Destination

   
 

Count

   
  
 
   
 
  
 

Country of origin goods
Singapore

fats Ese of Delivery & payment: CFR Singapore
Pre carrier CFR + at gonsPament dOdayaferDucOOA SAME PARIBAS, Trend
Set Towers, 101,Ground Floor 8-2-269/10,Road No. 2. Banjara Hills, Hyderabad # 5q0

tNo. 0937810572300136

ort of Loading 034. INDIA, IndiaAccoun'

      
  
 
 
     

    

  
     

 
  
 
 
 

    
 
   
  
  
 
 

 
       
       

 
  
      
  
  

    
  
   
   

  
 

No.& Kind of P
Amara Raja Batteries Ltd. 10 Wooden Pallets Stuffed in t LeadAcidStorageBatteriesofalltypes-
Container. J2VMF(WET)LeadAcidAmaron:
~TERIESHSCODE:8507 1000
‘Total Amount

Made in india.

24,203.52

EAM-HL-OBH85D23L 576 :
240 60.60 14,544.00

EXX-AG-5741 02069

 
 

Containe

TCKU 325271-1 BYKS 00683

   
  

    
         

LC Date:
CENTS ONLY)

1CNo : NA
Amount in Words: (USD TI WRTY-EIGHT THOUSAND SEVEN HUND

P.1 1600800837 DT 21.02.2017
e declare that this Invoice shows

RED FORTY-SEVEN AND FIFTY-TWO

 
 
  
  

rs are true and correch.
ATTERIES LTD.

  
  
 
 
  

Declaration: Wi
Bank Address:
off. Sererer STE)
G.V. RAMANAIAH SETTY
eae RINTENDENT
ann wd Sifla Gears Yowk
Customs & Central Excisa
paar | froakr
RANGE-II / TIRUPATI

  
 
   
 
  
  

 

 

   
    
  

RANG -~ea f ren f we vee
rs TRUER

u
tt

xt"
0117002202_12,"Exp Contract No:
Exchange rate ,"
0117002202_13,
0117002202_14,
0117002202_2,"SHREENIDHI SHIPPING PVT LTD.,

SHIPPING CLEARING AND FORWARDING AGENT
No.1, ANGAPPA NAICKEN STREET,GROUND FLOOR
CHENNAI-600 001.Ph:044-25242393 Fax:044-43517120
S.T.REGN. NO.AASCS8890BSD001
INVOICE-EXPORT

M/s.Amararaja Batteries Ltd.,
Renigunta Cuddapah Road,
Karakambadi, tirupati. .NO. 003/2016-17.
BATTERIES i 02x20'
1700200005,007 / 04.04.17 -NO. = |TCKU3252711,TCKU3333979
5209093/04.04.17 20 Pallets
33106 KGS
05.04.17

Re-Imbursebie '
Particulars Non Taxable cat ere je
amount Taxable Amount

CFS Charges (Rs.1840 CWC)
Fumigation Services Charges (Rs.100.00)
Certificate of orgin charges (Rs.150x1)
Transport Charges From Renigunta to Chennai (Rs.17570x2)
(Service Tax Payable by Consignee)
Documentation Charges
Customs Inspection/Examination Charges (Rs.600x02)
Service Charges (Rs.1000x02)

Total
Service Tax @ 14.00%
Swachh Bharat Cess @ 0.5%
Krishi Kalyan Cess @ 0.5%
Sub-Total

Grand Total an 41256.00

Rupees Forty One Thousand Two Hundred And Fifty Six Only)
E & O EXCEPTED

Authorised Signatory."
0117002202_3,"Srivaari Forms PN: <<402I00

rant"
0117002202_4,"= -
— ie
NY Ao
2 GS
-“ ©
-£

ss

Zz =e
© Be
Ea
o
sh
Oo

> Lo

OB =e
c £4
Z che
Ons 638
Ese
OG 8e
UVBass
Z 522%
Ase eS
Reels
_ o
5 Bee
584
Sess
6 OES
Os5So
BOs,
qt 28
iG

fo 28
Z 82
oy

©

nN @

a
EB
a"
0117002202_5,
0117002202_6,"fA)

BZ 003i

Fumigation Technologies (India) Pvt. Ltd. RECEIPT

  
 
   

   
  
    
  
    
 
   

    

New No. 129, Old No. 64, (3rd Floor), No 4 6 o
see Thambu Chetty Street, Chennai - 600 001. c
“ES AMARA RAJA BATTERIES LTD. pate: M417

@

Chennai /
For Fumigation Technologies (India) Pvt. Ltd.

  

Accountant / Manager"
0117002202_7,
0117002202_8,
0117002202_9,"> ae Wi AMARA RAJA BATTERIES LIMITED

ae “ontrols Karakambadi Tirupathi Andhra Pradesh INDIA

atl IEC No:0988006723 TIN No:37630118190
INVOICE _
Exporter/Manufacturer/Producer/Processor Iny No.& Date Exporter's Ref:

   
   
  
 

00200005 Dt 04.04.20 00004
Buyer's ref No. & Date
P.O .No: NWBTE/170217(AFMKT)#3 = Date: 17.02.2017

Amara Raja Batteries Ltd
Karakambadi Tirupathi
Andhra Pradesh, INDIA.,517520

Tel:_Fax: 0877-2285600
Consignee
NW BATTERIEN TRADING
ENTERPRISE PTE LTD

53 Ubi Ave 1,#03-39 &
#03-40,Paya Ubi Industrial Park
408934 Singapore

Notify Part pa men eee nae

Country of origin goods Country of Final Destination
Singapore

Place of receipt by Terms of Delivery & payment: CFR Singapore
Pre carrier CFR singapore, 100%Payment.40daysafterDateofBillof_ading, BNP ee
0)

         
  
   
  
   

   
    
   
 

Buyer Other than Consignee
NW BATTERIEN TRADING
ENTERPRISE PTE LTD 53 Ubi Ave 1,#03-39 &
#03-40,Paya Ubi Industrial Park

408934 Singapore

   
  
  

 

IBvRoad __—————__| Set Towers,101,Ground Floor 8-2-269/10,Road No. 2, Banjara Hills, Hyderabad # 5(
[Port of Loading __|934- INDIA, IndiaAccountNo.0937810572300136
Port of Discharge
Singapore Singapore
Marks & Nos No.& Kind of Pkgs Description of Goods

Amara Raja Batteries Ltd. 10 Wooden Pallets Stuffed in to 1x20' LeadAcidStorageBatteriesofalltypes-
Made in India. Container. 12VMF(WET)LeadAcidAmaron-
HiLifeSLIBATTERIESHSCODE:8507, 1000

Marks Container No Seal No Item Code Colour (Nos Rate/Unit Total Amount
TCKU 325271-1 BVKS 00683. =EAM-HL-O0BH85D23L 576 42.02 24,203.52
EXX-AG-574102069 240 60.60 14,544.00

 

 

NA LC Date:
Amount in Words: (USD THIRTY-EIGHT THOUSAND SEVEN HUNDRED FORTY-SEVEN AND FIFTY-TWO CENTS ONLY)

P.1 1600800837 DT 21.02.2017

Declaration: We declare that this Invoice shows the actual price of the

Bank Address:"
0117004018_1,"SHREENIDHI SHIPPING PVT LTD.,

SHIPPING CLEARING AND FORWARDING AGENT
No.1, ANGAPPA NAICKEN STREET,GROUND FLOOR
CHENNAI-600 001.Ph:044-25242393 Fax:044-43517120

S.T.REGN. NO.AASCS8890BSD001
INVOICE-EXPORT

M/s.Amararaja Batteries Ltd.,
Renigunta Cuddapah Road,
Karakambadi, tirupati. .NO. 007/2016-17.
BATTERIES : 02x20' ow
1700200009/06.04.17 ‘NO. |MRKU7204519,MRKU7574874
5258043/06.04.17 20 Pallets
6,003,887.04 39286 KGS
07.04.17

Re-Imburseble
SI.No. Particulars Non Taxable eee
amount axable Amount

CFS Charges (Rs.1840------CWC)
Fumigation Services Charges (Rs.100.00)
Certificate of orgin charges (Rs.150x1)
Transport Charges From Renigunta to Chennai (Rs.17570x2)
(Service Tax Payable by Consignee)
Documentation Charges
Customs Inspection/Examination Charges (Rs.600x02)
Service Charges (Rs.1000x02)

LN Total

Service Tax @ 14.00%
Swachh Bharat Cess @ 0.5%
Krishi Kalyan Cess @ 0.5%

Sub-Total 37,230.00 4026. 00
Grand Total | 41256.00 Z

Six Only)

[Optisuite Number | Number [Optisuite Number | Aad

Export |

Prepared By Lucy Podb4
Nerf A o"
