Invoice,Text3
0117002202_1,"i SHREENIDHI SHIPPING PVT LTD.
SHIPPING CLEARING AND FORWARDING AGENT
No.1, ANGAPPA NAICKEN STREET,GROUND FLOOR
CHENNAI-600 001.Ph:044-25242393 Fax:044-43517120
S.T.REGN. NO.AASCS8890BSD001
INVOICE-EXPORT
©1130 92202
PARTY:- — |M/s.Amararaja Batteries Ltd., Date 18.04.17
Renigunta Cuddapah Road, INVOICE NO|004/18.04.17 4
Karakambadi, tirupati. F.NO. 003/2016-17.
MATERIAL |BATTERIES No.Of cont |02x20'
INV.NO: 1700200005,007 / 04.04.17 CON.NO. |TCKU3252711,TCKU3333979
SB.NO: 5209093/04.04.17 PKg/PLT 20 Pallets
INV.VALUE: |2,499,215.04 Gr.Wt 33106 KGS
Cleared on {05.04.17
Re-Imburseble
amount
1 CFS Charges (Rs.1840------CWC) 1,840.00
2 Fumigation Services Charges (Rs.100.00) 100.00
3 Certificate of orgin charges (Rs.150x1) 150.00
4 Transport Charges From Renigunta to Chennai (Rs.17570x2) 35,140.00
(Service Tax Payable by Consignee)
5 Documentation Charges 300.00
6 Customs Inspection/Examination Charges (Rs.600x02) 1200.00
7 Service Charges (Rs.1000x02) 2000.00
Total 37,230.00 3500.00
, Service Tax @ 14.00% re
Swachh Bharat Cess @ 0.5% 18.00
Pye %
Krishi Kalyan Cess @ 0.5% & tf 18.00
Sub-Total WA ,
| ___[{Rupees Forty One Thousand Iwo Hundred AndFiftySixOnly) |__|
EE OFXCEPTED CSE SH Home Tega g S80| ABD)
> ct NA i
For Shreenidhi Shipping Pvt Ltd. a; Angin. oy FCOSCOOOS OOF
e Naicken } Prepared By U Co AA
. BA street ZS Pies = CCOOT Sy}
Was is yp 4 Checked/Verified By | <b ome _|
Authorised Signatory. ANAS, {+— - +e Seen _|
‘ ANA"
0117002202_10,"y Joh Ni AMARA RAJA BATTERIES LIMITED 2 l
jonnson oe :
Karakambadi Tirupathi Andhra Pradesh INDIA ic ‘
«sa — Controls : wath a c2eF 0° 6
or IEC No:0988006723 ‘TIN No:37630118190 ee
« b .
s vv,
INVOICE i
Exporter/Manufacturer/Producer/Processor Iny No.& Date Exporter's Ref:
Amara Raja Batteries Ltd 11700200007 _pr04.04.2017 7200004280
Karakambadi Tirupathi Buyer's ref No. & Date
Andhra Pradesh, INDIA.,517520 P.O .No: NWBTE/170217(AFMKT)#8 Date: 17.02.2017
Tel: Fax: 0877-2285600
Buyer Other than Consignee
NW BATTERIEN TRADING NW BATTERIEN TRADING
ENTERPRISE PTE LTD ENTERPRISE PTE LTD 53 Ubi Ave 1,#03-39 &
53 Ubi Ave 1,#03-39 & #03-40,Paya Ubi Industrial Park
#03-40,Paya Ubi Industrial Park 408934 Singapore
408934 Singapore
Country of origin goods Country of Final Destination
Place of receipt by ‘Terms of Delivery & payment: CFR Singapore
Carriage By: Pre carrier CFR singapore, 100%Payment.40daysafterDateofBillofLading, BNP PARIBAS, Tren
[BvRoad | Set Towers,101,Ground Floor 8-2-269/10,Road No. 2, Banjara Hills,Hyderabad # 540
Sea [Port of Loading __]934- INDIA, IndiaAccountNo.0937810572300136
Port of Discharge
No.& Kind of Pkgs Description of Goods
Amara Raja Batteries Ltd. 10 Wooden Pallets Stuffed in to 1x20' —_ | LeadAcidStorageBatteriesofalltypes-
Made in India. COntainer, 12VMF(WET)LeadAcidAmaron-
HiLifeSLIBATTERIESHSCODE:8507. 1000
Marks Container No Seal No Item Code Colour ty(Nos Rate/Unit Total Amount
TCKU 333397-9 BVKS 00684 EAM-PR-00065B24L GREEN 256 36.66 9,384.96
EAM-HL-00042B20L GREEN 1,280 26.70 = 34,176.00
geo eA Zo,
De Sa © eee
ger on ss
oe ed Pa “Nee
Str SP A OY
SOF SA Ma Vn 4
ei mr, ee het
eee ee § Sa
p Aske
Say r 3 ‘ os i
rs ""i aot .
ON eae Tack se a""
: INCO TERMS: FR-Singapore TOTAL OTY 1.536 3D 43,560.96
ICNo : NA LC Date:
Amount in Words: (USD FORTY-THREE THOUSAND FIVE HUNDRED SIXTY AND NINETY-SIX CENTS ONLY)
P.1 1600800842 DT 21..02.2017
Declaration: We declare that this Invoice shows the actual price of the goods described and that all particulars are true and correct.
Bank Address: ba cine LRAJA BAY
ff Be
((igid
aN pt AN popes be"
0117002202_11,"SD Pe AMARA RAJA BATTERIES LIMITS t
; _ Johnson Karakambadi Tirupathi Andhra Pradesh INDIA , fh)
AMARA RAIA Controls ‘ UI
ener IEC No:0988006723 TIN No:37630118190 A
INVOICE
—— russes — -rier/Manufacturer/Producer/Processot Iny No.& Date Exporter's Ref:
Amara Raja Batteries Ltd 9020000 pt.04.04.20 90004
Karakambadi Tirupathi Buyer's ref No. & Date
Tel;_Fax: 0877- 285600
(a er Other than Consignee
NW BATTERIEN TRADING NW BATTERIEN TRADING
ENTERPRISE PTELTD ENTERPRISE PTE LTD 53 Ubi Ave 1,#03-39 &
53 Ubi Ave 1,#03-39 & #03-40,Paya Ubi Industrial Park
403-40,Paya Ubi Industrial Park 408934 Singapore
Notify Party
Country of origin goods Country of Final Destination
fats Ese of Delivery & payment: CFR Singapore
Carriage By: Pre carrier CFR + at gonsPament dOdayaferDucOOA SAME PARIBAS, Trend
ae Towers, 101,Ground Floor §-2-269/10,Road No. 2, Banjara Hills, Hyderabad # 540
Sea iia —— 034, INDIA, IndiaAccountNo 0937810572300136
oe oe Le
10 Wooden Pallets Stuffed in to 1x20"" LeadAcidStorageBatteriesofalltypes-
Made in india. Container. J2VMF(WET)LeadAcidAmaron:
Hit ifeSLIBATTERIESHSCODE:8507 1000
Se Container No Seal No Item Code Colour Oty(Nos) oe patent Total Amount ‘Total Amount
TCKU 325271-1 BVKS 00683 EAM-HL-OBH85D23L 576 42.02 24,203.52
EXX-AG-574102069 240 60.60 14,544.00
1CNo : NA LC Date:
Amount in Words: (USD Th {IRTY-EIGHT THOUSAND SEVEN HUNDRED FORTY-SEVEN AND FIFTY-TWO CENTS ONLY)
Pat 1600800837 DT 21.02.2017
Declaration: We declare that this Invoice shows the actual price of the gqogs described and that all particulars are truc and correct.
Bank Address: Pye oe \ vy F 2S re 7) YATTERIES LTD.
fiat, eroret BYE) > ESL () p
G.V. RAMANAIAH SEV? FAN cu TA
xin wad Hela Gers Ves 4 LO 1 of |
Customs & Central Excise eS
piaerasr | freak —
RANGE-II / TIRUPATI
RA sees Treaty” onan
“IIs TIRUP AR
— wt"
0117002202_12,"—_—-— pe ee Ee ee
ey TOR ames
: ee: Nae te cie - ies age mee
ae \ SS a Piano imetenge rc Bia cst Ma iy Bist ,
Mere eas ie ae oa lees aera one ahinn a \)

a haa 4 ae a le ill Leia TE! “OPY. ay ; 2)
ee: . i 3 2. b Se a RE RP Sis
Tee tt : ae LEQ No: | : 4 | og!

Ges. om od ae sah did
4 ode aoe i IVELLORE6 01120
ya Oo} - CHA : AA as Miers se sk oes Caen Ai
Bey: AEE” Hye tS Sone _BRC Realisation Ds te : 3
oe  Prant De ne /G, NG PRI ‘E LIMITED. 3 1/01/2018
Be Thie consignment remediation aunrer-srteersiniaaes sa s
ir a ‘ Bt — BL: Sas: wo nas ay Ae seo whe cae sen .
pe a Soa yi ri i iy ens >t a examin: te 4 on i Ya.
py, 0 aes Pee Nos oe tone Gace re: Sd
ea a ~ Hg ; Lauda Pe vitae ea See F
Bc : — eae Se a et a
se osssoG ee ec ee PG canter emer re Se.
. [ARA RAG 3 ca aera eu or a rea :
a . ‘KARAKAMBAD pee N TRA ~
~ v - SitS20im 4 Oa: -NTER TD e
Bit. ~ ea ‘ , ; Meo.
pe Me i a
Poe pt) ni, Se —
He nies See yy Bealed ; eee
ae pee 30% 0672 a pee
Liser ci es oA ib “ , 3 - Me
imei, ROLE Of, Loading... 5 ene Wa)
a Port of ee ee a eathol meee
| © Country oss ic...
oa country of D me S path ‘ y
ae Retation No} [206.000 ee ae : i Be pecaes
Pa Nature.of Cs: peers: Sak sit a
ek: avicgs aed eee Pe ea . ”
en: ie eee aoe i suetatapet oe
ey Qo ee ee Wabeere | EXPORTS .
Re POR V: = : ee ee ee INDI? —
Be, EPR ech SS DBK (TI! De i pin sts pao ie. sR Raa ed
Boiss Peteaalee Cs RES ae RI. Bo Be ieiaet ae Klee ST
wey ist Rae os Gay a ee 5 > eee se tra oes QQ Bes Daten. viet tet bees 3 ;
preg <Naee) Ot Sree y 7 mae range 2. Shp CR ae 4
poo Beatie oir cid ¢ A a0 t's Ee ae a eRe
eal 2 heat oet waa ; Oi ee 1 woulé no
 @ ~~ sIvores perart as
ars Inv.val- wma ran sf ri dae Heine rks iF,
a > ‘ee i ae bernie So
ea i : Py Val :2495990.04 H bene es, : : oie a '
end ( vy. no. ‘ “ He at ¥ . Serpe U WU act at Bnet eae LAR a
nae / Nat. of con, a LEP eral pep eset sod eed ‘
ne Exp Contract No: cr. % otk bape | $0870a/2017— ape suet me
pares 2 oS eer ky 4 ee u he ae hy eR |
en (C r Exchange rate =: 1. is REN E -,  e pean beso anaer.” ; —
i. ; sae al St = 64.500 ( Spe UAE Se a ae
ee eek _ Insurance — ca teu ~ y ee ee i een yt aia
Peon. Memes. it ay es BE Wye Ssh ba Sa pun Bese Rn ik
ie Sa Se ath fee 3 ieee ( ei ee a Sl
Lys ry eH 6 Ooi A ee Ces F Sm icc uh ea Migs Seite
hitig cs eae eee Hib gh doheaktiaed io es cage 9°
ypu Na Gthee remo ; tata pats hs
“ educktig E Ba Bei = ay net
= Packing Charge: . aa Riera ae $4
eee CH axs Pe Meee eae eet F Raa eee i iscal
le Nature of pa’ a ane tre nents ent a8 va dl Mee inercr st '
a eo wor ag Seta a i Oe a atar ae agri ‘ ee Pe ee TER SIRS an a.
fe A STERPRI GE. LADEN C Rega Be: ile LA se ak ee SRE: ‘
cS Phe eh cok oe Auer a ali i as eae ;
pei sBURI A a em SR 5k 8
Preset ie . UBZ oa . ~ i ‘ pee. een hia ei sy dee vena 9 soa att
- q ar poe DL ti rm rats gine d+! teste a ke 2. en
fess & ollie IRS scl eR eb teese, 8 eet O55 eee UM gy iA
ia A i Soa aRaEEEEEEeEenEmee Spam Bt 1 cela eno TE Ne
fe i ees Re ea * - eh ee Pai ft alamisy ‘
. at __ ORRIN as ne $1208 ens 8 fai ye rs apse tain het : 7 .
‘ Re oS steer Ss A eae 1 of 6 | Pape 3 ak Vt ate
7 en ee een ag Pipa tee e f eee i ey ee Apia
ae 1 iain dah lh as eed soy nh Poeeeeeres wi
ae a ee Coe TEE | EGE Cae Beat S358
rs eee? bia oo te: Teas aoe aes Cb biasaepte Oni. RUM neabiliad sa
isl ; 5 ae eee . a a aR en eee. 0 pr aiiae gc :
BRAS this aia 2 Se ee ons , bie Bae
er aa 7 ‘etree slesecrracmoniggte es - y Bidet Diels
""Ea ae edge a oe ee aca eee De isin. Ste get
a ‘ aia Orta sail: yi aapae aaa gorse cies sibs i lois ined LM Sita 4d
| 1 See oe ea Oe cata el RS ERI RRREAE Ee by ,
sO ghee pe ae ee, aa ae Rep foi ation eager (aan BA Meck Ear as
BO ie ee oe
. , ; eee eae EN a RD ee igeik 2s sane 4
hs Me ee 2 ied. i is aaa he ee re PA NaN Meee tte s[ IS
Be h Re eee tice i ob aii hata BOR Mie i AMMRd i Mail ic,
iS, es ae ; red Slee
MOIS? Sei ae ae % OS Se
‘eet aa . eeane ee Se ees : Pekar ae peut Mame
ed ORM ey Me eee Pee
tm te RB SS: ae eae ee eee a aa a, ;
ais Ra Rs he SGI ae Pepe 0 tect aoe Mate""
’ ‘ ar ner a praepnet Maan ae ¥ te me ame ""og"" wut 4 Sees?
. iH Ms Baler mere OT EEBE ues"
0117002202_13,"pod in a ee ae
rey tere a fi — wraoveccoresoaizy | It | f
5 ARE a ie a aed eT Itladass ree Lat
ce re eh dete BN We0e : i
. “awe ow : ba seh 2 ae CaSee a mit G -
"" ip . at Ces NO | |
, ee ew t [aoe
oe sii ius 2 aia pach
aa % 7 : 7 pa ‘ sh Wie ae A it
Port ¢ ‘tec AND | PR - ae
co < ar ees eens me
4 om  Bepore ra ee consignee a
Ba fa aie ee a pale
ie rn pice. aah e 1 me
ed oo ‘INVO} ae kl kas Beckie
tees Babite. ere Ti Se al
OB \ : se a
: o inv. no ; a ; 27
abs : Exp Cont : 4 aN
a 2 Pome in Pe vy We ee ee ¥ .
ae eee ee : eet
ss i ee L ae at
os Eneurance ef é ;
omtiecn.  ~saenE eles fey
ft Commisalion: Nant par Bed ; ne Pal
a Saag oe ee aac ee Saat Sear es a ;
3 i Baek ; Beaks ect ast
ai} (ow! ‘SW BATTERIE! a bes fa en one 4
5 ‘gyrenpRis: Wee etoreg  S
ee ce eer eens inte re Seas es aes ouNR Jie, o5
fo | Sine S3UBI AVE 7 ee aee ae ae
Bh rs } bo - PAYA UBI IM T hate ute; near tee:
Oe | SREY aertieeenir ra ir or rts Cee eee rae cen
tend: > S hile Phcls oe eee eee eee
Deeg ad is il. i, caste Mae ems! ee les aes) hae OB
ey ates, te ce pecs Nirah re ce, eae Pe EIN cs aad
fae) A NG ee. soiie Rok ce bie ae ees 7 get sania aie s 5s
ee on eee ee ee eee me ri ee | ‘
= SS I se a pe a eo a
ead ¢ i sg fa dh Wain is ee re IB iaate kcu.oe
it vo ; wees we o Sasi ano Sale a Ba es ORR 2 yy dirs
J ae es oe tS Fetes | gh We 2
q © COE pate eee HI os Pete I ea est pe te
a ey. vc ies ie pet RE terete ho. aoe
ES -_ ro a ae Piiarretes sce: oie
Se ‘et. ia : er eee .
wd v ae nit wii Pore anr nen tent “ tensed RL fata NO 2
= aR viata 3 Pai, EBA Be Bette a a :
Ba) Meee es dh igs, 2, lp a a
Be RE i ia EE x is r Ndi gh ER nett ina Eighth eae Rem age Ries
pre emtreeD sane Grit ire arned Pe eee ee a nee. ein) eeneeiag Ly ARBOR
: ‘ pe ae he , sh CHM carrey ceo.
ed SRA sete Van so Se Ree es ceriten et Pn:
OURS reagent ot F Mee
SNe eee : ‘ eee! pears 1h by ‘
7 + “Tea Re Tae Peo °
as 4 : ee : ig Pi ie c bes om HY Pa if
Rid | wn . 5 ae r : fe . os Pea seod et epee ad bik enna ; “
ia 1 é Bg be RS r iY t Hrs Fate itd a act Ssh Ph ar 1g eae *
ie ee a eh
ae ; fa & ta i ts A ‘ A 4 ri? sm Soe ne ger bo
px “ Sop Whe MAG ps ete OS eee eae fe: ial eae
: } a“ ca ni SE eee ieee ace a a ee a aed Ct Sata sh ee
i ge a a a. ‘ i ( (21 SY Liana tie earaeer: +e
a EMA. >, Q ne ee Oy oe Hs eae : SRS i}
Beet a A ere ey ; € ener cy ay: eRe
ye eh ie ri aera ea) Dr aes *
Reet atl ae Asha acae aed Bed ti ede Bo
‘ eas fe te ae ae fe Bee | ae mae e eo a Spar oT ait A A
Bee elit oo Cee iinet Media
MOR aba, alee i rae HEE WR Se Ide ee Fan Say ek
ee : ats 0 Rig ae oe Pi ee 1 Mtge eS Aa etd edit eae ;
eee) 3 Shae ie a ners) tl ee } Sie pe ae Ee ererer gi |
eS Te OR
ee as Pw RCs Came el Ee See ee
ant < ee 5 ® reo3 ear tee eee Midis oe ately. 48 Bee ee 3 *
a “ MAA NEL) 9 hae eee ee re See
rm ee eS a MP ie ame en” bee
a eget ieee cs a Grn ; 7 Met Se nee arena
aa a ees paeke ! / etiam ay, ALY *
ot momen ata RES Se. y's: ee oe SS ey at eared Be Rar ga
an ‘ he lal 2 Se wae PE nt ney ide ca a wey é
Ps Paki te Ae SERA oo oor ow Sas :
4 ion - So ise eh a a a 5 ‘ Banna Be peice Soaks
ea! BO Gee A aaa ee i eee
ert 4 gee Medes renee ame ook oul SS
Es a pee aK eg Say et er ae eae: +
ee Ee oe . Hig ; ee nt ed Sa Pimms 329 4
; eH is: , : DR eae A ae Rok
OL hokass 2 eae ees, DE PRAREA age. tyr Pee:
: aah dics ae F : : ‘ i"" ee MMR UE: aati bnrteee  e  Syt 8
ee be Py ete ee ieee | AI ree ae cie e Rast re ray Ai DS ya
2 TS) Ea ae Mame aru aD Seas age, Dany 2. os.
: a \ GERRRGR a ME map MRN eT cory HCE Ae gS
Beis i EMS OREN EMO hs bs"
0117002202_14,"capes us a A a
tee a Saal
ees te a we = ————
: a ol + : nS ee
; a se ‘i Ree yeaah ce! Re fash
‘ ee 2OR: 1M / 1
a pian manewmssonsse:3aK | lJ |
; bale Sear sere. pF 4
print ere NE | i
. : E of4 a eG lio
vets B.: ecru merry er
ora t C rd ee
_ onsame oo . :AND mA Besa
eé ° m ""ae 4 Be ae ed 5 ig
q Total FO Fe leg weer an —
ay ‘Total FOB Vt 2) De a 4 ao aS
Customs accel ‘ Ox. TEMS , , 0000 USD {
® ie See ae : EMS PEOS.4806 USD
4 I/we declare Pe eee Se
“Od ’ The , ad as < Fi ’
® Follow ing f 8 th Bo otk ; ise rr
sy Env Team agenc ae
‘i: 2 ne yume gt eet
oo oe « oe AEN be Pee es
a ee - am imerieeeen °#
a ‘ Z - . Ot ae | : ae
4, ae 4 Le Bh ree aoe ‘
alee: bee ber SS erick al Q eat ae
Pat ahh in Wfe, +, itt ae r ae
PSsiphe tht ng ae Fg cna 3 or 4
ee et ‘ee a ae 2 ae : sé 4 pe ; ;
' 4 3 ah ea ee en ith
‘ & ci Rae vs os : ie Hii eee:
@.. 2 Le book Pee ema tise: oe tH Bre aay coe
1 = 2 2 ee eatery ht dec ant YO
De 2 2 a ee eed casei aes ey, ©
sia eee i ae Pe eS
aia + prised hk ie ey Ga}? eRe ig Weerate. wae. ©
sierksh:. BL GDRERLM OF Ep : MA 4 Sle TE an aah Seth Siete ee
CR i ges Be Sse ae aaa F a: ees Nate tre a Ke: Brera
; Se geiaposetiein — ei opt eee Poo t
Re Dee ede oe ———__—________4\6 ee y
Ba os ye aa Ms oe ea: fs See nee one Allowes | TAY Shipment
ie ree ‘chant yu xe DE C - ce a 7 Shed eared So bet hie 7
Pe 3 ee eu See REE SLY nie, eatery ote ae) ; naturt , ‘e use ats ae
: ne eee & ae PS ‘oe Bhipment :
* <p OUR tGre ae Se ata tages dia e ¥ iain GIDE tt jee es ea SEHR 4
— oe . ste vated ORE Te ea keene ‘
oT ee £ Vesse. ee a Rea = hea tia staat) a Bop ei
ie ae fy A 20) sng. ROM SS ise of Office: of os ee,
| on a eh Pose ee oe
i a oo. Te Ta igs ek i a ’ —
Pet eae «diy Goalie Fees eee paecaar ts ik
HR Ovitis cee ee ga See ee ee ee
Rigi oo EN nll a
oaiediainsce imsbaagiadaes eel es ; Ey ine 0 ug Gig
Es Sar ewe ae Se bee
Pron 86 2 ees 4 Sie & a BF Hee
ee. SWRceees © ss in) gon meaeegneg ; ” mee Eos
aes Ae ee bo gag 4 SES Rpt el ae 4 5
H ae =~."" Poe SEES Se SR, ie a #G RN ts PIM GS 2) sz
ied ca Se oe a ee
ii : jaa ‘i ceean ck ee Ea ieeate Bean
bat : Ge ae bali ech este Ma MeO ee rs (Ace ome ir Sah eset gang ie
ae “ge ah Moss ee P i coke Uae hoes a SoS CS aS ae.
oe 2 + os LB peta ee ig : 0 € ar Gohan! Pah i a aRe Eo sae
ai FR ae sy) © dear eae | i P Re ER RS ete
Be in. Seis be re iia Lf Se ane Gee eect. eee Fa 8 aS ieatbees
ee 9 ‘ui pee e eas SePRe Veen eee ee Boe
ames Wry Ras coe reks meee: tor Seeger eae eo oA cyte = bie Pus * quae ES
oes Pe ee sie Gow ee ot
: Asis 3th ox HE RR Ra Ss) FG “re Fae FR cae A terns SAS Se eek Bo 2) eas
Stages “se: Saas 1S tthe Se sis ae eae gens 48 Tae Betas neni tS sd
ce iit Dae= Egy «i hid foe meat Lee he eee BEE aes Laat a Lae Bh, =f Wis sa
ee een. ioe RRR Fo et er eae ev tees 3 Lert
ae e ae Ripon ei ty eet Bae Sy aes ae ah Ie St Teo ee Ream ute ta a
Rete ant gee i ec es TA i egacos Mee Beh
ee pg ye 1 ee 4 : oo ae
Pe REP EN » = r Fala Ns Ae Ss Ab i
bang:, - ~# ""ih eee es BOS ty i i hath oan a Moe Bibs Peep? i Sag As,
alae cht aia haps c Reena pagan ae Pe a as pone ne neem e tera i ieee ees
ti ae ee cee ae eae ae ra ae ; } sah’ “oe } sree sR hag
eek ee a eee ey et Bee ae
ee 1 Aa ee age oc ae ae
he vi tap se set le ene nah ae ae ia Ry Se eae)
a er : poh TE oa ; ee ig ee : , 3 ees. teas ‘ ROMs Sek ye pes eh ‘
Greet ig s eli = vaeg ee gine tha alae
poorest Aged at ae a Ae eee Ee per bene ree ete >
bid EER 8 = dpe tas cies ea een aed ae a COM ew En OW Aa PO te pipe bene Phar,
heel PRR CD ES en ere Rina cc ORs wise ake wats Oo! ily
ae ee he
‘ St SLE ee Se Sa be Renate Go es : ie
: PSN RN A UND"
0117002202_2,"' SHREENIDHI SHIPPING PVT LTD.,
SHIPPING CLEARING AND FORWARDING AGENT
No.1, ANGAPPA NAICKEN STREET,GROUND FLOOR
CHENNAI-600 001.Ph:044-25242393 Fax:044-43517120
S.T.REGN. NO.AASCS8890BSD001
INVOICE-EXPORT
PARTY:- M/s.Amararaja Batteries Ltd., Date 18.04.17
Renigunta Cuddapah Road, INVOICE NO}004/18.04.17
Karakambadi, tirupati. F.NO. 003/2016-17.
MATERIAL |BATTERIES No.Of cont |02x20'
INV.NO: 1700200005,007 / 04.04.17 CON.NO. |TCKU3252711,TCKU3333979
SB.NO: 5209093/04.04.17 PKg/PLT _|20 Pallets
INV.VALUE: |2,499,215.04 Gr.Wt 33106 KGS
‘ [Cleared on _|05.04.17
‘ or Re-Imburseble
1 CFS Charges (Rs.1840------CWC) 1,840.00
2 Fumigation Services Charges (Rs.100.00) 100.00
3 Certificate of orgin charges (Rs.150x1) 150.00
+ Transport Charges From Renigunta to Chennai (Rs.17570x2) 35,140.00
(Service Tax Payable by Consignee)
5 Documentation Charges 300.00
6 Customs Inspection/Examination Charges (Rs.600x02) 1200.00
7 Service Charges (Rs.1000x02) 2000.00
Total 37,230.00 3500.00
: Service Tax @ 14.00% 0.00 490.00
Swachh Bharat Cess @ 0.5% _ 18.00
Krishi Kalyan Cess @ 0.5% 18.00
Sub-Total
a
Grand Total ht.
| __[(Rupees Forty One Thousand Two Hundred AndFiftySiOnly)——~—=S=é=~imsSC<‘<S~S~*s*~S~*™
E & O EXCEPTED ELL
esis ‘ IS) No: 1, 4
For Shreenidhi Shipping Pvt Ltd., S/ angappa A
acthot ¢ S\ Naicken /S
\Noa C %\ Street 2 J
Authorised Signatory. SNA BSS"
0117002202_3,"j Srivaar Fr
@
;
gs
| NY as
3 | Ne
oO
6
zx #8 :
EB 3
= 20 =|8
=~ Fe is|g 2 |i ""
; 3 : igece
Os oi =. 8 ; i I
as ge (Sle ; ' {
x gS yi
Szess 5 |
OEsak = 2 @| 9% 3 :
ale 3 oe 2 8 a
ie ¢|:3| 8 : a
E5Ehs "" | : ,
weet |
AL : tS 2 8
Bete : : iB ; :
C= see i a
6 £58 H
$3855 5 a ‘
| H : \
¥“ 3 2 |
- 2
fe ES = Tih
i 2 “3 wai""
ms 39 3, es ai] ' :
Bas 7 |
o3 4F : 3
S
|| Ri :
@ : :
a 2 eda, ES
= derail!
B) |g 3 i[egsc8s i
co srg: 8 i alt !
lola LEE i
ap ‘
3 Sa oe : :
3/833 Ea E : |
al jal i
oO a : :
ect Tu
aie gis: (REBEs 5;
ie i 2 43\4 or ‘
: o
1 ( ‘i
fe
. GS"
0117002202_4,"C
of =
NN ae
2S QS
Sy o
~
8 N
a : ggge
el Bg zi2 és 3 ages
‘ HB : 2 2g°°s ols |
: 3 x g 9 ‘ a8 a|
eo 8] g ~ ‘
oe ge | Sie : 1
| i ° a
RZ ego co 8 gy) § a
Ba als 2% } @& : °o z 8
| [ 8 eu 8 o od
OBaes 2 & HY
a3 oO :
E5eis ” 5 . 2 1
ws : :
a © a 8 3
sail 2 sf gs i\3
aie % o 63 % a
ms fee BSH al
= of 2 58 : :
wees - o
B SES . | : :
oT = 3 |
5 n
< 28 Oo 3
aN 2 32a)""
- ES Zz 39 83/8 —_ :
= ae
a n 8 aN
g £8 Be
0 EB i.2
i zo e 8
si af : > § i
| e Ho 3
segs
a 2 gf es g 530 .
g gin et A! 4 |
fi —
°! 7 : Gs 3 Qa ag
: 9/2! Eee of g 5) ee
< Seow s g - :
a Sia, 4 858 ba i |
i <= eS Pe z w EB dae "" |
<|_}a4 52 x é 3
Slala? ag Ll 2585 : > H& j
i Y| a ay Si :
i | : ‘ oa j
33 i = a ° fo i
is | u 3 Be |
5
i Je 3 5S 5 DB a r
oH : a ga 3
| eS: ii Hi 8 9 8 Bo |
2 ; ats pa Se 8 = : ;
$32 23 g {°° + :
| : ul, a & a
4 j :
.— . : y :
: gi8o 8
a ii
of"
0117002202_5,"Fumigation Technologies (india) pvt. Ltd. RECEIFT
New No: 129) old No. 64 (ard Floor: No A6Z
onsen Thambu Chetty street, Chennai - 600 001.
— AMARA RMIABATTERIES TD., oa: MLL
cRaceved wih nary oT Mis BATE Gcennad ve conaxgpooneen
arnount in words Rs. een foak OO
towards gases Se
Paid by cash! Cheque No. & Dt enema
of ain fgg
For Fumigatio® Technologies (india) pvt. Ltd.
oof bb
Rs: L 0 pgoountant / Manaaet"
