InvoiceNo,ExtractedText
0,"['CHENNAI-600 001.Ph:044-25242393 Fax:044-43517120', 'INV.NO: 1700200005,007 / 04.04.17 CON.NO. |TCKU3252711,TCKU3333979', 'SB.NO: 5209093/04.04.17 PKg/PLT 20 Pallets', 'INV.VALUE: |2,499,215.04 Gr.Wt 33106 KGS', '1 CFS Charges (Rs.1840------CWC) 1,840.00', '2 Fumigation Services Charges (Rs.100.00) 100.00', '3 Certificate of orgin charges (Rs.150x1) 150.00', '5 Documentation Charges 300.00', '6 Customs Inspection/Examination Charges (Rs.600x02) 1200.00', 'Krishi Kalyan Cess @ 0.5% & tf 18.00']"
1,"['«sa — Controls : wath a c2eF 0° 6', 'Amara Raja Batteries Ltd 11700200007 _pr04.04.2017 7200004280', 'ENTERPRISE PTE LTD ENTERPRISE PTE LTD 53 Ubi Ave 1,#03-39 &', 'ENTERPRISE PTE LTD ENTERPRISE PTE LTD 53 Ubi Ave 1,#03-39 &', '53 Ubi Ave 1,#03-39 & #03-40,Paya Ubi Industrial Park', '53 Ubi Ave 1,#03-39 & #03-40,Paya Ubi Industrial Park', '#03-40,Paya Ubi Industrial Park 408934 Singapore', '[BvRoad | Set Towers,101,Ground Floor 8-2-269/10,Road No. 2, Banjara Hills,Hyderabad # 540', ""Amara Raja Batteries Ltd. 10 Wooden Pallets Stuffed in to 1x20' —_ | LeadAcidStorageBatteriesofalltypes-"", ""Amara Raja Batteries Ltd. 10 Wooden Pallets Stuffed in to 1x20' —_ | LeadAcidStorageBatteriesofalltypes-"", 'TCKU 333397-9 BVKS 00684 EAM-PR-00065B24L GREEN 256 36.66 9,384.96', ': INCO TERMS: FR-Singapore TOTAL OTY 1.536 3D 43,560.96', 'P.1 1600800842 DT 21..02.2017']"
2,"['Amara Raja Batteries Ltd 9020000 pt.04.04.20 90004', 'ENTERPRISE PTELTD ENTERPRISE PTE LTD 53 Ubi Ave 1,#03-39 &', 'ENTERPRISE PTELTD ENTERPRISE PTE LTD 53 Ubi Ave 1,#03-39 &', '53 Ubi Ave 1,#03-39 & #03-40,Paya Ubi Industrial Park', '53 Ubi Ave 1,#03-39 & #03-40,Paya Ubi Industrial Park', '403-40,Paya Ubi Industrial Park 408934 Singapore', 'ae Towers, 101,Ground Floor §-2-269/10,Road No. 2, Banjara Hills, Hyderabad # 540', 'Sea iia —— 034, INDIA, IndiaAccountNo 0937810572300136', 'TCKU 325271-1 BVKS 00683 EAM-HL-OBH85D23L 576 42.02 24,203.52', 'TCKU 325271-1 BVKS 00683 EAM-HL-OBH85D23L 576 42.02 24,203.52', 'Pat 1600800837 DT 21.02.2017', 'xin wad Hela Gers Ves 4 LO 1 of |']"
3,"['Bey: AEE” Hye tS Sone _BRC Realisation Ds te : 3', '~ v - SitS20im 4 Oa: -NTER TD e', 'preg <Naee) Ot Sree y 7 mae range 2. Shp CR ae 4', 'preg <Naee) Ot Sree y 7 mae range 2. Shp CR ae 4', 'preg <Naee) Ot Sree y 7 mae range 2. Shp CR ae 4', ""ea i : Py Val :2495990.04 H bene es, : : oie a '"", 'pares 2 oS eer ky 4 ee u he ae hy eR |', 'hitig cs eae eee Hib gh doheaktiaed io es cage 9°', 'fess & ollie IRS scl eR eb teese, 8 eet O55 eee UM gy iA', '. at __ ORRIN as ne $1208 ens 8 fai ye rs apse tain het : 7 .', '‘ Re oS steer Ss A eae 1 of 6 | Pape 3 ak Vt ate', 'ae 1 iain dah lh as eed soy nh Poeeeeeres wi', 'isl ; 5 ae eee . a a aR en eee. 0 pr aiiae gc :']"
4,"['3 i Baek ; Beaks ect ast', 'fae) A NG ee. soiie Rok ce bie ae ees 7 get sania aie s 5s', 'ae ; fa & ta i ts A ‘ A 4 ri? sm Soe ne ger bo', 'a EMA. >, Q ne ee Oy oe Hs eae : SRS i}', 'ee : ats 0 Rig ae oe Pi ee 1 Mtge eS Aa etd edit eae ;', 'ant < ee 5 ® reo3 ear tee eee Midis oe ately. 48 Bee ee 3 *', 'ant < ee 5 ® reo3 ear tee eee Midis oe ately. 48 Bee ee 3 *']"
5,"['‘ ee 2OR: 1M / 1', 'eé ° m ""ae 4 Be ae ed 5 ig', 'ay ‘Total FOB Vt 2) De a 4 ao aS', '4, ae 4 Le Bh ree aoe ‘', 'ee et ‘ee a ae 2 ae : sé 4 pe ; ;', 'De 2 2 a ee eed casei aes ey, ©', 'aia + prised hk ie ey Ga}? eRe ig Weerate. wae. ©', '* <p OUR tGre ae Se ata tages dia e ¥ iain GIDE tt jee es ea SEHR 4', 'oaiediainsce imsbaagiadaes eel es ; Ey ine 0 ug Gig', 'Pron 86 2 ees 4 Sie & a BF Hee', 'aes Ae ee bo gag 4 SES Rpt el ae 4 5', 'Stages “se: Saas 1S tthe Se sis ae eae gens 48 Tae Betas neni tS sd', 'ee een. ioe RRR Fo et er eae ev tees 3 Lert', 'Rete ant gee i ec es TA i egacos Mee Beh', 'ee pg ye 1 ee 4 : oo ae']"
6,"['CHENNAI-600 001.Ph:044-25242393 Fax:044-43517120', 'INV.NO: 1700200005,007 / 04.04.17 CON.NO. |TCKU3252711,TCKU3333979', 'INV.VALUE: |2,499,215.04 Gr.Wt 33106 KGS', '1 CFS Charges (Rs.1840------CWC) 1,840.00', '2 Fumigation Services Charges (Rs.100.00) 100.00', '3 Certificate of orgin charges (Rs.150x1) 150.00', '5 Documentation Charges 300.00', '6 Customs Inspection/Examination Charges (Rs.600x02) 1200.00']"
7,"['OEsak = 2 @| 9% 3 :', 'ale 3 oe 2 8 a']"
8,"['‘ HB : 2 2g°°s ols |', '| [ 8 eu 8 o od', '< 28 Oo 3', '°! 7 : Gs 3 Qa ag', ': 9/2! Eee of g 5) ee', '<|_}a4 52 x é 3', 'i Je 3 5S 5 DB a r', '2 ; ats pa Se 8 = : ;']"
9,[]
