docNo,items
0,"['SHREENIDHI --- ORG', 'PVT LTD --- ORG', '001.Ph:044-25242393 --- PHONE', 'Fax:044-43517120\n --- ORG', 'NO.AASCS8890BSD001 --- CARDINAL', 'Amararaja Batteries Ltd. --- ORG', 'Renigunta Cuddapah Road --- FAC', 'INVOICE NO|004/18.04.17 4 --- INVOICE', 'tirupati --- GPE', 'F.NO --- ORG', ""cont |02x20' --- ORG"", 'CON.NO --- ORG', '1,840.00 --- CARDINAL', '100.00 --- CARDINAL', 'Rs.150x1 --- ORG', '150.00 --- CARDINAL', 'Renigunta --- GPE', 'Chennai --- GPE', '35,140.00 --- CARDINAL', 'Consignee)\n --- ORG', '300.00 --- CARDINAL', 'Customs Inspection/Examination Charges --- ORG', '1200.00 --- CARDINAL', 'Rs.1000x02 --- CARDINAL', '2000.00 --- CARDINAL', 'Total 37,230.00 --- TOTALAMOUNT', 'Service Tax @ --- ORG', '14.00% --- PERCENT', '0.5% --- PERCENT', 'Pye % --- PERCENT', '0.5% --- PERCENT', '18.00 --- CARDINAL', '|__|\n --- ORG', 'Tega g --- PERSON', 'ct NA --- ORG', 'Shreenidhi Shipping Pvt Ltd. --- ORG', 'Angin --- ORG', 'U Co AA --- ORG', 'CCOOT Sy} --- PERSON', 'ANAS --- ORG']"
1,"['y Joh Ni AMARA RAJA BATTERIES LIMITED --- PERSON', 'IEC --- ORG', 'TIN --- ORG', 'Exporter --- ORG', '11700200007 --- CARDINAL', '7200004280 --- CARDINAL', 'Andhra --- GPE', 'P.O .No: NWBTE/170217(AFMKT)#8 --- PO', '17.02.2017 --- CARDINAL', '0877 --- CARDINAL', 'Consignee\n --- ORG', 'PTE LTD --- ORG', 'Ubi Industrial --- ORG', 'Park\n --- ORG', '#03 --- MONEY', 'Ubi Industrial --- GPE', 'Singapore\n --- ORG', 'Country of Final Destination\n --- ORG', 'Terms of Delivery & payment: --- WORK_OF_ART', 'CFR Singapore\n --- ORG', 'CFR --- ORG', 'BNP PARIBAS --- ORG', 'Tren\n --- PERSON', '2 --- CARDINAL', 'Banjara Hills --- GPE', 'Hyderabad --- GPE', '540 --- MONEY', 'INDIA --- GPE', 'Amara Raja Batteries Ltd. --- ORG', '10 --- CARDINAL', 'Wooden Pallets Stuffed --- WORK_OF_ART', '1x20 --- CARDINAL', 'India --- GPE', '12VMF(WET)LeadAcidAmaron- --- CARDINAL', '1000 --- CARDINAL', 'TCKU 333397-9 --- DATE', '9,384.96\n --- ORG', '26.70 --- CARDINAL', '= --- ORG', '34,176.00 --- CARDINAL', 'eA Zo --- GPE', 'ed Pa --- PERSON', 'ei --- ORG', 'Sa\n --- LAW', 'Aske\n --- ORG', '3 --- CARDINAL', 'eae Tack --- ORG', 'INCO --- NORP', 'FR-Singapore --- ORG', '1.536 --- CARDINAL', 'NA LC Date --- ORG', 'NINETY-SIX CENTS --- MONEY', 'DT --- ORG', '02.2017 --- CARDINAL', 'Invoice shows the --- INVOICE', 'igid\n --- PERSON']"
2,"['SD Pe AMARA RAJA --- PERSON', 'Johnson Karakambadi Tirupathi --- PERSON', 'Andhra --- GPE', 'INDIA --- GPE', 'UI\nener IEC --- ORG', 'No:0988006723 TIN --- PRODUCT', '90004 --- CARDINAL', '285600 --- CARDINAL', 'Consignee\n --- ORG', 'Ubi Industrial --- ORG', 'Ubi Industrial Park 408934 --- ORG', 'Singapore\n --- ORG', 'Country of Final Destination\n --- ORG', 'CFR Singapore\n --- ORG', 'CFR --- ORG', 'PARIBAS --- ORG', '101,Ground --- CARDINAL', '2 --- CARDINAL', 'Banjara Hills --- GPE', 'Hyderabad --- GPE', '540 --- MONEY', '034 --- CARDINAL', 'INDIA --- GPE', 'IndiaAccountNo 0937810572300136 --- ORG', '1x20 --- CARDINAL', 'india --- GPE', '1000 --- CARDINAL', '00683 --- CARDINAL', '576 --- CARDINAL', 'NA LC Date --- ORG', 'IRTY --- ORG', 'FIFTY-TWO CENTS --- MONEY', 'DT --- ORG', 'Invoice shows the --- INVOICE', 'gqogs --- PERSON', 'Pye oe \\ vy F 2S --- PERSON', 'YATTERIES LTD --- ORG', 'eroret BYE --- PERSON', 'ESL --- PERSON', '4 --- CARDINAL', 'TIRUPATI\n --- ORG']"
3,"['TOR --- ORG', 'Nae te cie - ies --- PERSON', 'Piano --- ORG', 'ae --- PRODUCT', 'le --- PRODUCT', 'OPY --- ORG', '2 --- CARDINAL', '3 2 --- CARDINAL', 'Se a RE RP --- PERSON', '4 --- CARDINAL', 'ae sah --- PERSON', 'AA --- ORG', 'Miers se sk --- PERSON', 'AEE --- ORG', '3 --- CARDINAL', 'NG PRI ‘ --- ORG', '3 --- CARDINAL', '1/01/2018 --- INVOICEDATE', 'aunrer-srteersiniaaes sa s --- ORG', '4 --- CARDINAL', '0 --- CARDINAL', 'Sd\nea --- ORG', 'Lauda Pe vitae --- PERSON', 'F\n --- PERSON', 'eae Se --- ORG', 'ec --- ORG', 'ARA RAG 3 --- ORG', 'KARAKAMBAD --- ORG', 'TD --- ORG', 'Meo --- ORG', 'Se —\n --- ORG', 'yy Bealed --- PERSON', 'eee\n --- PERSON', '30% --- PERCENT', '0672 --- DATE', 'Liser ci es --- PERSON', '3 --- CARDINAL', '5 --- CARDINAL', '206.000 --- CARDINAL', 'Sak --- PERSON', 'aed eee Pe ea --- PERSON', 'oe\n --- ORG', 'EPR --- ORG', 'eee se tra oes --- PERSON', 'QQ Bes Daten --- PERSON', '3 --- CARDINAL', 'Naee --- PERSON', 'Ot Sree y --- PERSON', '2 --- CARDINAL', '4 --- CARDINAL', ""a0 t's --- PRODUCT"", '2 --- CARDINAL', 'heat oet waa --- PERSON', 'Oi ee 1 woulé --- PERSON', 'sIvores perart --- PERSON', 'sf ri dae Heine rks --- ORG', '2495990.04 --- CARDINAL', 'oie --- ORG', '¥ --- CARDINAL', 'Serpe U WU --- PERSON', 'Bnet eae LAR --- ORG', 'nae / Nat --- PRODUCT', 'LEP --- ORG', '0870a/2017 --- MONEY', 'eer ky 4 --- ORG', 'en (C r Exchange --- ORG', '1 --- CARDINAL', 'REN E - --- PERSON', 'sae al St = --- PERSON', '64.500 --- CARDINAL', 'Wye Ssh ba Sa pun --- PERSON', 'Sa Se ath --- PERSON', '3 --- CARDINAL', 'ei --- ORG', 'Sl\n --- ORG', '6 --- CARDINAL', 'Hib gh --- PERSON', '9° --- DATE', 'Na Gthee remo --- ORG', 'tata --- ORG', 'hs\n --- ORG', '4 --- MONEY', 'eee CH axs Pe Meee eae eet F Raa eee --- PRODUCT', 'ane tre nents --- PERSON', 'a8 --- ORG', 'eo wor ag --- ORG', 'Seta --- PERSON', 'Oe --- ORG', 'STERPRI --- ORG', 'LADEN C Rega --- PERSON', 'Phe --- PERSON', 'eae --- ORG', 'UBZ --- ORG', 'een hia --- PERSON', 'ei --- ORG', '9 --- CARDINAL', 'soa att\n- --- ORG', 'teste --- PERSON', 'IRS --- ORG', '8 --- CARDINAL', '__ ORRIN --- EVENT', '1208 --- MONEY', '7 --- CARDINAL', '1 --- CARDINAL', 'ak Vt --- ORG', 'iain dah lh --- PERSON', 'eed soy nh Poeeeeeres --- ORG', 'Coe TEE | --- PRODUCT', 'Cb biasaepte Oni --- PERSON', '5 --- CARDINAL', 'ae eee --- ORG', 'aR en eee --- ORG', 'aiiae --- PERSON', 'bie Bae\n --- PERSON', 'Ste --- ORG', 'aia Orta sail --- PERSON', 'yi aapae --- PERSON', 'lois ined LM --- PERSON', 'Sita 4d --- PERSON', '| 1 --- LAW', 'aan BA Meck Ear --- PERSON', 'ee oe\n. --- ORG', 'eee eae EN --- ORG', 'RD --- GPE', '2s --- CARDINAL', '4 --- CARDINAL', '2 --- CARDINAL', 'aii hata BOR Mie --- PERSON', 'es ae --- ORG', 'Slee\nMOIS --- PERSON', 'Sei ae ae --- ORG', 'OS Se\n --- ORG', 'eeane ee --- PERSON', 'ORM --- ORG', 'te RB SS --- ORG', 'ae eae ee --- ORG', 'ais Ra Rs --- PERSON', 'SGI --- ORG', 'Pepe 0 tect --- PERSON', 'ar ner --- WORK_OF_ART', 'Maan ae ¥ --- PERSON', 'wut 4 Sees --- WORK_OF_ART', 'Ms Baler --- PERSON', 'EEBE --- ORG']"
4,"['rey tere --- PERSON', 'Itladass ree --- PERSON', 'mit G -\n --- ORG', 'Ces NO | |\n --- ORG', 'aoe\n --- ORG', 'aa --- ORG', '7 --- CARDINAL', '7 --- CARDINAL', '1 --- CARDINAL', 'Babite --- ORG', 'Ti Se al\n --- PERSON', '27 --- CARDINAL', '4 --- CARDINAL', 'Pe --- ORG', '¥ --- CARDINAL', 'eet\n --- ORG', 'ne Pal\n --- ORG', 'Baek --- PERSON', 'ast\n --- ORG', 'Jie --- PERSON', 'o5\n --- PERSON', 'Phcls --- GPE', 'eee eee eee\n --- PRODUCT', 'Mae ems --- PERSON', 'ee les aes --- PERSON', 'hae OB --- ORG', 'ey --- ORG', 'te ce pecs Nirah --- ORG', 'eae Pe EIN cs --- ORG', 'NG --- ORG', 'soiie Rok ce --- PERSON', '5s --- CARDINAL', 'eo --- ORG', 'Wain --- PERSON', 'Sasi ano --- PERSON', 'a Ba es ORR --- GPE', '2 yy --- DATE', 'dirs\n --- LAW', 'J ae --- PRODUCT', '2 --- CARDINAL', 'COE --- ORG', 'ey --- ORG', 'vc --- ORG', 'aoe\n --- ORG', 'oie\n --- PERSON', 'ia --- ORG', 'RL fata --- ORG', '2 --- CARDINAL', 'Bette --- PERSON', '2 --- CARDINAL', 'lp --- ORG', 'ia EE --- ORG', 'Ndi gh --- PERSON', 'Ries\n --- ORG', 'Grit --- PERSON', 'arned Pe eee ee --- PERSON', 'ein --- PERSON', 'CHM --- ORG', 'Se Ree es ceriten --- PERSON', 'F Mee\nSNe --- PRODUCT', 'Tea Re Tae Peo --- WORK_OF_ART', '4 --- CARDINAL', 'ig Pi --- PERSON', 'c bes om HY Pa --- PERSON', '| wn --- PERSON', '5 --- CARDINAL', 'fe --- GPE', 'RS --- ORG', 'Ssh Ph ar 1g eae --- PRODUCT', 'fa & ta --- ORG', '4 --- CARDINAL', 'Soe ne ger bo\n --- PERSON', 'Sop Whe MAG ps ete OS eee eae fe: --- WORK_OF_ART', 'ial eae\n --- ORG', 'ni SE eee ieee --- ORG', 'aed Ct --- ORG', 'ge --- ORG', '21 --- CARDINAL', 'SY Liana --- ORG', 'EMA --- ORG', 'SRS --- ORG', 'ey --- ORG', 'eRe\n --- PERSON', 'ri aera ea --- ORG', 'ede Bo\n --- PERSON', 'alee --- PERSON', 'ats --- ORG', '1 --- CARDINAL', 'Mtge eS Aa etd edit eae --- PERSON', '3 --- CARDINAL', 'Shae --- PERSON', 'Pw RCs --- ORG', '48 --- CARDINAL', '3 --- CARDINAL', '9 --- CARDINAL', 'Grn --- GPE', '7 --- CARDINAL', 'Met Se --- PERSON', 'ALY *\n --- ORG', 'y --- ORG', 'ee oe SS ey --- ORG', 'Rar ga\n --- PERSON', 'Se wae PE nt ney ide --- PERSON', 'wey é\n --- ORG', 'Ps Paki te Ae SERA --- PRODUCT', '4 --- CARDINAL', '5 --- CARDINAL', 'Soaks\n --- ORG', 'gee Medes renee ame ook oul SS\n --- PERSON', 'ae eae: --- ORG', 'ae Rok\n --- ORG', 'hokass 2 --- ORG', 'DE PRAREA --- PERSON', 'tyr Pee --- PERSON', 'ee MMR UE: --- WORK_OF_ART', 'aati bnrteee   --- PERSON', '8 --- CARDINAL', 'ray Ai DS --- PERSON', 'Dany 2 --- PERSON', 'MRN --- ORG', 'cory HCE Ae --- PERSON', 'Beis --- PERSON']"
5,"['Saal\n --- ORG', 'fash\n --- PERSON', '1 --- CARDINAL', '1 --- CARDINAL', 'bale Sear sere --- ORG', '4 --- CARDINAL', 'lio\n --- ORG', 'C rd --- ORG', 'mA Besa\n --- PERSON', 'ig\n --- ORG', 'De a 4 ao --- ORG', 'TEMS --- PERSON', '0000 --- CARDINAL', 'EMS --- ORG', 'USD\n --- ORG', 'Pe --- ORG', '8 --- CARDINAL', 'ise rr\n --- ORG', 'ae\n --- ORG', '2 --- CARDINAL', 'Pee es\n --- ORG', 'ae\n4 --- ORG', 'ae 4 --- PRODUCT', 'Le Bh ree aoe --- PERSON', 'bee ber SS --- ORG', 'erick al Q --- PERSON', 'Wfe --- GPE', 'itt ae r ae\n --- ORG', '3 or --- PERCENT', '4 --- CARDINAL', '4 3 --- CARDINAL', '2 --- CARDINAL', 'tH Bre --- PERSON', '2 2 --- CARDINAL', '2 2 --- CARDINAL', 'ey --- ORG', 'eRe ig Weerate --- PERSON', 'wae --- PERSON', 'BL GDRERLM --- PERSON', 'Seth Siete --- PERSON', 'Nate tre --- PERSON', 'Brera\n --- ORG', 'Se geiaposetiein --- PERSON', 'ei --- ORG', 'ee y\n --- ORG', 'Allowes | TAY Shipment\n --- ORG', '7 Shed --- WORK_OF_ART', 'naturt --- PERSON', 'ne eee & ae PS --- ORG', 'dia --- PRODUCT', '¥ --- CARDINAL', 'iain GIDE tt jee es ea SEHR --- PERSON', 'ORE Te ea keene --- ORG', 'Vesse --- PERSON', 'tia staat --- PERSON', 'Bop ei\n --- ORG', 'ae fy --- ORG', '20 --- CARDINAL', 'os ee --- GPE', 'ee oe\n --- ORG', 'Te Ta igs ek --- PERSON', 'Ovitis cee --- PERSON', 'EN nll --- PERSON', 'oaiediainsce imsbaagiadaes eel es --- PERSON', 'Ey --- NORP', 'Es Sar --- LOC', 'SWRceees --- ORG', 'gon meaeegneg --- PERSON', 'mee Eos\n --- WORK_OF_ART', '4 --- CARDINAL', '5 --- CARDINAL', '# --- CARDINAL', '2 --- CARDINAL', 'Se oe --- PERSON', 'jaa --- PERSON', 'ceean --- NORP', 'Ge --- ORG', 'rs --- PERSON', 'Moss ee --- PERSON', 'Uae --- GPE', 'Pah --- PERSON', 'Eo sae\n --- ORG', 'iia Lf Se ane Gee eect --- PERSON', 'Fa 8 --- PERSON', '9 --- CARDINAL', 'Boe\n --- ORG', 'ames Wry Ras coe reks --- PERSON', 'tor Seeger eae eo --- PERSON', 'cyte --- PERSON', 'bie Pus --- PERSON', 'Asis --- PERSON', '3th --- ORDINAL', 'SAS --- ORG', '2 --- CARDINAL', 'Saas --- ORG', '48 --- CARDINAL', 'sd\nce iit --- ORG', 'Egy --- PERSON', 'Lee --- PERSON', 'Laat --- PERSON', 'Wis sa --- PERSON', 'ioe RRR Fo --- PERSON', 'eae ev --- PRODUCT', '3 --- CARDINAL', 'St Teo ee --- GPE', 'Mee Beh\n --- PERSON', '1 --- CARDINAL', '4 --- CARDINAL', 'oo ae\n --- ORG', 'ih eee es BOS --- WORK_OF_ART', 'Sag As --- ORG', 'ae Pe --- PERSON', 'ieee ees\n --- ORG', 'sree sR --- PERSON', 'Aa --- PERSON', 'vi --- ORG', 'le ene nah ae ae --- FAC', 'poh TE --- PERSON', '3 --- CARDINAL', 'Sek ye pes --- PRODUCT', 'vaeg ee gine --- PERSON', 'tha alae\n --- PERSON', 'EER --- ORG', 'COM --- ORG', 'PRR --- ORG', 'Rina --- PERSON']"
6,"['SHREENIDHI SHIPPING PVT LTD. --- ORG', 'No.1 --- CARDINAL', '001.Ph:044-25242393 --- PHONE', 'Fax:044-43517120\n --- ORG', 'NO.AASCS8890BSD001 --- CARDINAL', 'Amararaja Batteries Ltd. --- ORG', 'Renigunta Cuddapah Road --- FAC', 'INVOICE NO}004/18.04.17\n --- INVOICE', 'tirupati --- GPE', 'F.NO --- ORG', ""cont |02x20' --- ORG"", 'CON.NO --- ORG', '1,840.00 --- CARDINAL', '100.00 --- CARDINAL', 'Rs.150x1 --- ORG', '150.00 --- CARDINAL', 'Renigunta --- GPE', 'Chennai --- GPE', '35,140.00 --- CARDINAL', 'Consignee)\n --- ORG', '300.00 --- CARDINAL', 'Customs Inspection/Examination Charges --- ORG', '1200.00 --- CARDINAL', 'Rs.1000x02 --- CARDINAL', '2000.00 --- CARDINAL', 'Total 37,230.00 --- TOTALAMOUNT', '14.00% --- PERCENT', '490.00 --- MONEY', '0.5% --- PERCENT', '18.00 --- CARDINAL', '@ 0.5% --- PERCENT', '™\nE & O --- ORG', '1 --- CARDINAL', '4 --- CARDINAL', 'Shreenidhi Shipping Pvt Ltd. --- ORG', 'Naicken --- PERSON', 'SNA --- ORG']"
7,"['j Srivaar Fr --- PERSON', '20 --- CARDINAL', '3 --- CARDINAL', 'igece\nOs --- ORG', '8 --- CARDINAL', 'ge --- ORG', 'Sle --- ORG', '2 --- CARDINAL', '9% --- PERCENT', '8 --- CARDINAL', 'Bete --- PERSON', '3855 --- MONEY', '\\\n --- MONEY', 'Tih\n --- PERSON', '2 --- CARDINAL', 'o3 4F : --- PRODUCT', '3 --- CARDINAL', 'Ri --- GPE', '2 --- CARDINAL', 'ES\n --- ORG', '3 --- CARDINAL', 'i[egsc8s --- ORG', '8 --- CARDINAL', '3 --- CARDINAL', 'Tu\n --- PERSON', '2 --- CARDINAL', '43\\4 --- MONEY', 'GS --- ORG']"
8,"['C\n --- ORG', '= --- ORG', 'QS --- ORG', 'N\n --- ORG', 'ggge\n --- ORG', 'HB --- ORG', '2 2g°°s --- QUANTITY', 'ols |\n --- ORG', '3 --- CARDINAL', '9 --- CARDINAL', '8 --- CARDINAL', '1 --- CARDINAL', '° --- CARDINAL', '2% --- PERCENT', '° --- CARDINAL', '8 --- CARDINAL', '8 --- CARDINAL', '5 --- CARDINAL', '2 1 --- CARDINAL', '8 3 --- CARDINAL', '2 --- CARDINAL', '63 % --- PERCENT', 'BSH --- ORG', '2 58 --- CARDINAL', '28 --- CARDINAL', '2 --- CARDINAL', 'ae\n --- ORG', '8 --- CARDINAL', '2 --- CARDINAL', '4 --- CARDINAL', '7 --- CARDINAL', 'Gs 3 --- ORG', 'Qa ag --- ORG', '9/2 --- CARDINAL', '5 --- CARDINAL', 'Seow s g - --- PERSON', '4 858 --- QUANTITY', 'eS Pe z w EB dae --- PERSON', '3 --- CARDINAL', '2585 --- CARDINAL', '° --- CARDINAL', 'ats pa Se 8 = --- ORG', '32 --- MONEY', '°° --- CARDINAL', 'ul --- ORG', '& --- ORG', 'gi8o 8 --- ORG']"
9,"['Fumigation Technologies (india --- ORG', 'pvt --- GPE', '129 --- CARDINAL', '64 --- CARDINAL', 'Thambu Chetty street --- ORG', 'Chennai --- GPE', '600 001 --- CARDINAL', 'AMARA RMIABATTERIES TD --- PERSON', 'Rs --- ORG', 'Se\n --- ORG', '& Dt --- GPE', 'ain fgg\n --- ORG', 'Fumigatio® Technologies (india --- ORG', 'pvt --- GPE', 'bb\n --- ORG', 'Manaaet --- GPE']"
