Invoice,Text
0118002664_1,"Tax Invoice (ORIGINAL FOR RECIPIENT)
e oe BO Invoice No. oo Dated | |
e @ NTTF29/1718/1456 = 29-Mar-2018 |
| ih N TT - | Delivery Note Mode/Terms of Payment
| - NEFT/RTGS/ONLINE 4
Securing your Future with your own Hands Buyer's Order No. Dated
_NETTUR TECHNICAL TRAINING FOUNDATION 220001054 __ {24-Nov-2017
23/24, Il PHASE, PEENYA INDUSTRIAL AREA Meer
BANGALORE - 560058 0 1 1 - 0 as 6 mi AMARA RAJA BATTERIES LTD
KARNATAKA OU 02 04 | Survey no. 153/1, Renigunta, |
‘Company's PAN: AABCN1189R re nen
IN : 29AABCN1189R2Z | ~ ;
ot ee : - GSTIN/UIN : 37AABCA9264E1ZO
CIN: U85110KA1999NPL025461 en y yeiiea i eacleste Geode
‘Email : NTTFACTS@NTTF.CO.IN Shes af Sts ie: cn shoe A tage ones
Contact No: 080 - 65334123,9844389168 PE
‘Si | Description of Services HSN/SAC | Quantity Rate per | Amount
‘No. | ee a a
‘TRAINING FEES 999293 | 1,05,000.00
| Training Charges for conducting Automotive |
Electical training Programme on |
1. On 5th March 2018 - Kolkatta |
2. On 14th March 2018 — Gazhiabad |
_ | 3. On 19th March 2018 - Guwhati | |
|| Rs.35000 Per Day for 3 Days
IGST @ 18% | | 18,900.00
} | |
O3
| 668""
Ot: |
i Ege _4 |  1,23,900.00
| Amount Chargeable (in words) E.&O.E
INR One Lakh Twenty Three Thousand Nine Hundred Only
tS — HSN/SAC | Taxable Integrated Tax | Total ~
Ci, Value _| Rattle ""L Amount | Tax Amount |
Ea _._-._-999285..i (ss 1,05,000.00| 18%, 18,900.00 18,900.00.
| ian Total 1,05,000.00 18,900.00, 18,900.00
Tax Amount (in words) : INR Eighteen Thousand Nine Hundred Only
‘Reverse Charge Mechanism Applicable : No
|
/“\ \fainin-
Company's Bank Details Sy Er \
Bank Name : The Shamrao Vithal Co-Op. Bank Ltd. (India) for NETTUR TECHNICAL TRAINING FOUNDATION ©
A/c No. : 106120950000103 5 | |
IFS Code : $VCB0000061 = \ ]
| Branch : PEENYA BRANCH 4, Authorised: Signatory
a a ae sensei : —>* . ee ee
gaiv'"
0118054857_1,"vi | '
mw). TAX INVOICE
i (Issued under Rule 7 & Section 31 of CGST Act, 2017) ORIGINAL FOR RECIPIENT -
AXIOM EV PRODUCTS PVT. LTD. |
Plot No. 70,71, Road No. 3, Phase |, 1.D.A., Cherlapally, ®
Hyderabad - 500 040, Telangana, India. Ir .
Tel : +91 40 2726 0555, Email :info@axiomevproducts.com - AXIOM |
Website : www.axiomevproducts.com ar
CIN No. - U74900TG2012PTC084590 = |
GSTIN No. : 36AALCA1548D1ZV 11805485/7
PAN : AALCA1548D
Consignee 3 GST INVOICE NO. Invoice Date: |
AMARA RAJA BATTERIES LTD - Haryana 2018-19/898 24-09-2018 :
Village dhumaspur 165/2/2/2/2,9/11 Buyer's Order No.
Haryana 122102 1300007708
India
Contact Phn. No: Despatch Document No. |
GSTI No: - State Code:06 EVSS/2018-19/763
Buyer (if Other than Consignee) Transporter Destination I
AMARA RAJA BATTERIES LTD - Haryana GATI LTD .
Village dhumaspur 165/2/2/2/2,9/11 Date & Time of Issue of Invoice Motor Vehicle No. '
paar 122102 24-09-2018 at 14:40:00 AP28U6915 | .
nda
Date & Time of Removal of Goods __| Gross Weight .
24-09-2018 at 18:00:00 97.50
State Code: 06 Net Weight |
GST! No: 06AABCA9264E2ZS 0.00 |
Whether the tax is payable on reverse wharge basis : , |
> Product Code Description Of Goods & Services HSN / SAC Qty UOM Amount qj
No CODE |
a es ls cl sh NetAssessable Value] | 1050.00]
|
| Grand Total: 121953.00
Grand Total (in words): Rupee One Lakh Twenty One Thousand Nine Hundred Fifty Three And Zero . |
Remarks - REF:08 CARTON BOXES (07X 04)01 BOX CONNECTORS DC PIN AXIOM LOGO WITH SB-50 CONNECTOR AS PER |
'_MAHINDRA PROFILE.WEIGHT:98KG'S
Comments - MR:DILEEP /7013332306. ¢
(VWugo No:— 50002] 792.3
Payment Terms : Payment - 15 Days credit from the date of Delivery/Invoice . A
| Do C- Vi 4/16 /2olP |
. $3 i
(7 a |
| 5 |
S|
Z eos —————_ |
Declaration: 1. /We Declare that th h | h Wa 4 we ~a48
eclaration: 1. € Declare that this invoice shows actual price of the AX IP DUC > pip "" a
Goods / Services described and the particulars are true For lOM — T oF ‘z 4
and correct. “= ~
2. Supply of Goods / Services in this Invoice shall be fh cy rf)
subjected to the jurisdiction of Hyderabad. Prep by . als ai Lie AY <7. © |
. WY Ag S77 i
AEPF/ACC-INV/960/01 —"
0118123050_1,"Invoi¢e cum Delivery Challan ISO 9001:2015 Certified Company
‘ Sreenidhi Raja Packing Solutions Pvt. Ltd.
Unit 1 - Reg. Off. & Mfg. Facilities: Shed no.4, IDA, Gajulmandyam, Chittor (Dist) A.P. 517520
0 sreenidhiraja.pspla@gmail.com lie
o srinidhiraja2O06@gmail.com Soo ON Selanne
SREENIDHI RAJA Pan No - AAPCS8924D_ —_GSTIN - 37AAPCS8924D1ZX State - Andra Pradesh )
| We help you go places State Code - 37 CIN No - U25202AP2011PTC072765 ;
9119123088
| Tee laveles (ORIGINAL FOR RECIPIENT)
Sreenidhi Raja Packing Solutions Pvt Ltd (Unit-ll) Invoice No. Dated
AR Galla Fe hee bd fennel SRPSPL-ARG/0626 __|8-Dec-2018
Vi r a anda . ee
Srikalanasti-ei7644 Delivery Note
GSTIN/UIN: OO ene i a
dhra Prad , Code: tr cine
Pel neentiitacrsciaameicam Supplier's Ref. Other Reference(s)
Buyer ; 626 ae OC
Amara Raja Batteries Ltd . Buyer's Order No. Dated
IBD PLANT il 1100093793 1-Dec-2018
BANGARUEALYANT Despatch DociiantNo. |Dellvery Nets Date
CHITTOOR
_ | PIN-517416 a Sa ee as
GSTIN/UIN - 37AABCA9264E1Z0 Despatched through Destination
State Name : Andhra Pradesh, Code: 37 ie ae _
Bill of Lading/LR-RR No. | Motor Vehicle No.
eee JAPOSYSSO2°—
SI| No. & Kind Description of . HSN/SAC| Part No. | Quantity Rate per Amount
No] of Pkgs. | Gods
| 1 54 910X780X6MM CORRUGATED SHEETS a 897-014-00240| 810 nos 24.51| nos 19,853.10
|
Amy 2 fre
SS ;
&
OG
Total] ais eee eBdO es _|% 19,853.10
Amount Chargeable (in words) . ES O°E
INR Nineteen Thousand Eight Hundred Fifty Three and Ten paise Only
HSN/SAC PS ee AEE S| Taxable
Value
_ Total} 19,853.10
Tax Amount (in words) : NIL ;
Declaration ‘ for Sreenidhi Raja Packing Solutions Pvt Ltd =i
We declare that this invoice shows the actual price of the oD
goods described and that all particulars are true and correct. ce 4
Or Authorised Signato
This Is a Cornpuler Generated Invoice
Terms and Conditions
1. No claim against this invoice will be entertained unless brought to our notice in writing within 24 hours of receipt of this invoice.
2. If payment of the invoice is not received as agreed, delay payment charges will be charged @ 24% p.a
(SETS ES hp a CL De an a aa mL Ry Nw ao a RU re omasn eg ed Pangcris Seal aR AE ay age om Re Pe CE ft Lami Cah ENA Ig SL MOL PS FEED Je Se a rewire"
0118123050_2,"| | s
| ©
| iG ) “ENTRY gi.No: ——~ See %
| e OLDE NUE. coun: = *
x Bg GURITY CHECKED IM Fy
. : hd LSC 57 De }
= 5 . Sec.Emp.Coc A ASS
| OS os Ay WY ‘ |
| ~~ SANGARLIPALEN
| ‘
| |
| | |
."
0118123050_3,"Invoice cum Delivery Challan ISO 9001:2015 Certified Company
Sreenidhi Raja Packing Solutions Pvt. Ltd. |
: Unit 1 - Reg. Off. & Mfg. Facilities: Sned no.4, IDA, Gajulmandyam, Chittor (Dist) A.P. 517520
0 sreenidhiraja.pspla@gmail.com ee
o srinidhiraja2O06@gmail.com 9959 900:789), 9581 442 755
SREENIDHI RAJA Pan No - AAPCS8924D _—_GSTIN - 37AAPCS8924D1ZX State - Andra Pradesh
We help you go places State Code- 37 CIN No - U25202AP2011PTC072765
Tax Invoice (DUPLICATE FOR TRANSPORTER)
. . - .- . e ~ . , $$$
Sreenidhi Raja Packing Solutions Pvt Ltd (Unit-Il) Invoice No Dated
AR Galla Industrial ete niet nes esl SRPSPL-ARG/0626 _ _/|8-Dec-2018 __ |
| Secale eb it FeancitomtMancial | Delivery Note
GSTIN/UIN: 37AAPCS8924D1ZX
State Name: Andhra Pradesh, Code: 37 = a =
E-Mail : sreenidhiraja.pspl|@gmail.com oe Supplier's Ref. Other Reference(s)
Buyer 626
Amara Raja Batteries Ltd Buyer's Order No. Dated So
IBD PLANT II
1100093793 1-Dec-2018
I Ta a a ee 2 ee ee
BANGARU PALYAM: Despatch Document No. | Delivery Note Date
CHITTOOR
PIN-517416 of ________
GSTIN/UIN - 37AABCA9264E1Z0 | Despatched through Destination
State Name : Andhra Pradesh, Code : 37 Plame Someta cieetmeee ie fe
Bill of Lading/LR-RR No. | Motor Vehicle No.
seed a ee _ APO03Y3302 i
SI| No. & Kind Description of HSN/SAC | Part No. | Quantity Rate per Amount
No. _of Pkgs. — a 00S ee Emre ee neenranneratensnnesssemen anes npsnmeetpnanainitasintnmnnntanss
| 1 54 910X780X6MM CORRUGATED SHEETS |48191010 | 897-014-00240; 810 nos 24.51| nos 19,853.10
Ep Tees ss ai SSB 1O.nes| ___|% 19,853.10
Amount Chargeable (in words) E&OE
INR Nineteen Thousand Eight Hundred Fifty Three and Ten paise Only
Value
48191010 19,853.10
___ Total
Tax Amount (in words) : NIL = i
Declaration 2 for Sreenidhi Raja Packing Solutions Pvt Ltd (Unit-Il)
We declare that this invoice shows the actual price of the meat ne 5 :
‘|goods described and that all particulars are true and correct. Sa at’, ae
= _Aupic be sit
This is a Computer Generated Invoice | =a a
Terms and Conditions
1. No claim against this invoice will be entertained unless brought to our notice in writing within 24 hours of receipt of this invoice.
2. If payment of the invoice is not received as agreed, delay payment charges will be charged @ 24% p.a
aaa ae a a a a FN a I ae ee a ee ee re eer TTS"
0118123050_4,". = ai
A = a la A i ep ee sce
1
.
t . sy. Ki - ""4 ain ; _ - ae
va text pt ei, Vip i J y . TRL att witaviled) Cus Me i .
* \ 7 - -
' i ’ ‘ ~"" ‘ * - ‘ ""
} 4 Maes iS - i” rr 2 4 - -
Pens FF ibe Brass Bot F: ras rte . ‘ a
, : fs %.
r y ae 7 a : _ “ “"" 4 w ' ; o
7 ’ A¢ 2 ; _— 7 * ie ke ; ; . ~ : ‘ aie
ul} as ho UAV Sri ? eae Fo ; OM th TD oat ‘ a = 6
eee i +
«i i? /- .
: a more ee ot + 2 : . 7
. R - - . oe 2s 2 sibpi tt Hae) iB it cd {WsOls * , « -
‘ & » # lets € ‘ a fe b¢F ' - i «i
ety Gy Nap Ee Re es : ; ; Lo
7 an oe a Ti 5 sat t-, ' “ae
NODUBA Shs OOS ee untbiy *¢
Bs oat oe gt pet - J* pee ot js, ‘ ~ i 4 ga ; + 4248 7 i
Lyk eit etry ie . Af tj. Why iu ff 4 4 L fe bate Ae , ; L ea tg
_~ oes * t fcigrt c's <a - . :
/ ~W is Me it Uw SPEcSU -4 : c - ;
’
. %
0
.
‘
.
poe 3 ‘7 “T
a te 4 ole’
r - fe SH 5S - . “ * | “ .
* ? Pd , ts. 7 { ? y
: 4 i bs s4 s- eg 7
* et 7 ’ - 7 . tet?
. eihipes . : i re ¢teal
= ge - j fe gis
. F : ""ys - ‘ lee MEY
. - ‘
: “
' ‘
‘ i Yrs pare eat ‘ i eo4 }
' -
a. Pe * «
‘ : ; tJ cy t Ast 478"" ,
24 ’
x : ~ ~ » - R tf
SX ioe 4b ; aT 1 cian « 7
Ca leBhe Pade th ‘ 4
Tr | f . ‘ ns - - ‘
. - 4 ' ° ‘
e ; ot ITT tea
/ \ Pf Th heh Ea}.
rhe 7 eet | ‘ ; ial 7 ; ‘ :
: ‘ - » Neds ; ma ri Pet RY eee
‘ f 5 “Fr. 1
%  * - ‘ I = :
re - +> .
* ‘ .
.
- s : ‘ ‘
: ‘ . a 7 rs PU 4 - ‘
' P ‘ a tole i / ; -
. uw » a 4 :
‘ 7 %
bk -* side .
“ ‘ ;
ug Zé ri 2 - «if My 7 Ace it = th) ay
= 7 . : 2 os ’ c= rir es ; ~ : -
- *
y ; ‘
,
m — ®
-
m 1
1 . +
. 7
* K
: :
; ‘ .
: 2
; :
*
: ; - -
>
ms; . 5 he
] °
s , > ¥ -
qi ce ch a as “* 5 £ t ts
» em, - ¢ o*-& 5 t 7“, ? . ** - *
Sf.geoG EAs st H 3 art = .
. %
ahr : en are ep on el a - = 7 pena 7 a — + . oe pemees ee nam pace
. =n iat o~ . + > bmn J
: . “ . * x . * +
a. “ * *
7 ""eee Pee ; z
: “ ==> 5 ~ ae <r = os = eF es wo & + - #ee eo =
"" ‘ :
: ‘
m - ""= -
: : ie - 7 =e os a
4 “ ¥ = i
: + = -
/ Ee
ots : -
=
,
: A . pest eben ges cote geste, dee
.
. - 7 é
.
- i, eae ite Tee Gee eae inaipies een 5 einer 6: Tae ees aie as >. Wlatinly dee aceatl
. ; C ;
= ee a ninanlby mites —— _ rn - — - — eS eS eee eee an eS ed eta dak, split Dini ett ats einaitlaslglig —eaipttes tle tnletannttiattitnt. ee '
; RE a SSSorty Iw saree ce st ps es =s as ess = <25 sh,
= S=———— SS = e SS EEE = ——————————————————————————————— —=—== See —— — ee = = = ss
® .
- * £ - - ‘
Sa Se — el ~ ne = a ——— ee eases ies alia Ten Sega eines saiaionie eee i — ae eaciaiios “
. ;
.
= ‘ 7 x 2 = ;
o ——E Neen nee eens eee ae sss SSS. eS
ast ;
: : r
‘
z — -— ; - 7 — ; —""| z ; ome 7 = ‘ ; ; 4 ; ot
7 . a + . + - oe"" — * =
_ ae 5 a ee ee ee oe a ig a pe ee —_——-“— =
Zila Sasliivi’ £:8= Zoirios
/ - = eee = - ee ae Poe i = - ; 7 a ;

_ Se a set to scion 28 vn im ey Se Pe Ss SSeS St es Seri gett gains pies gee
apc gen eS a as ep aaa A ge sc l  ac pe eae ea ag oe eg  eIa clagiemeaS = SURF a mene eae eae mata Aparna a ese meee eee pee aoe met ee a tee peal iin enema
a 7 = a = 7 = ere ee eee -. SS Se ome sea ares a ee a a roe a = oo ae ee ae = eee Ser : ra ae = = ss aa = ~ —

cate 7 a Soa to a a te he a — tn tet in Die lim ats Sr cn i — Btn ts nents po ee em . presets esa aeeasss ss aa bw 4 at ow 4 5 = =f = :

———SSS = SS te St te Se te

I sa aa pea aaa a ema age chs mpeg ements na 6a pea ag a a eae i aa — ana eae ee eel oer oR Se Ee ee ishing —-arumint=as—Siemereanee ates

if eat et Ware OS 4 oa hee Re Se Ra es eo St at ee tes See 7 Zi zs ice : is ‘ 5 Sa eaboe e ‘ o aes i Z a i .
aed RAR SL ae tot Ta os SL Nar Decl ge al Pe naan nn AG AES eS ee SRS (Ree eS Se SAE ane PR ean nie EO ec en Paes Sa hag oa aa ames NR lk Oe EE or Sa dc age ee = ae Sa Sarre Ss we Le ass pin at a eoal Sd Ee a oak ti"
0118123055_1,"| : DON WOOD WORKS
~ % * PADAVARAD
OLLUR P.O., THRISSUR, KERALA
Phone: 9072856764, 9447056764 Email: shonepackers@gmail.com
TAX INVOICE - CREDIT State: Kerala State Code: 32
GSTIN No: 32ADUPT3331J1Z8 Vehicle No: TN 23 AK 3553
Invoice No: 350 E-Way Bill No: 5010 7158 4755
Invoice Date: 06-12-2018 Purchase Order No/Date: 1100093780/1-12-2018
Shipped To: AMARARAJA BATT
Customer Details: AMARARAJA BATTERIES LTD a RT 30 go
INDUSTRIAL BATTERY DIVISION PLANT -2 INDUSTRIAL BATTERY DIVISION PLANT -2
BANGARUPALAYAM,CHITOOR BANGARUPALAYAM,CHITOOR
State : Andhra Pradesh State Code : 37 State: State Code :
GSTIN No: 37AABCA9264E1Z0 |PhoneNo. __|GSTIN No: 37AABCA9264E120
SI a HSN Taxable Total
Description of Goods Rate
PACKING CASE WOOD SAWN -
OR CHIPPED sau
1 |27X3X1 (602-975-01023) 44079990 9500. 12.19|67045.00 18%] 12068.10] 79113.10
2 \eaea X 1.25 - (602-9851 sa979990| 1100: | 27.15]29865.00 18%|5375.70| 35240.70
3 3 2.5 - (602-904 | 44979990] 400 | 42.88|17152.00 18%|3087.36| 20239.36
4 camet X .75 (602-904 | 44979990] 500 | 12.86] 6430.00 18%|1157.40| 7587.40
5 eR 3.5 X 1.25 (602-985 | 44979990] 500 | 28.80) 1400.00 18%|2592.00| 16992,00
6 130X4X2.5 (602-904-65026) 44079990| 240 45.14] 10833.60 18%] 1950.05] 12783.65
7 130 X 4 X.75 (602-904-34026) 44079990 500 13.54] 6770.00 18%|1218.60| 7988.60
8 eon ) X 1.25 (602-985- | 44q79990] 750 | 23.70|17775.00 18%|3199.50| 20974.50
| 9 136 X 3 X 3 - ( 602-975-75030) 44079990; 500 48.75} 24375.00 18%] 4387.50] 28762.50
=OTAL ! 9909 | 104645,60 135036.21| 229681.81|
Invoice Value (In Words) Total Amount Before Tax ..  194645.60
Rupees Two Lakh Twenty Nine Thousand Six Hundred and Eighty Add : CGST = 98 cor fe fray 30.00)
Two Only madiscst |
Adds 1GST? «oe 35036.21
Electronic Reference Number : TOTAL GSiy~ Dae = 35036.21
Certified that the Particulars given above are true and correct Total Amount After Tax | / 229682.00
For DON WOOD W@
ON)
=
Authorized
GL
Epon x 0llb
(lint"
0118123055_2,"| re
| ’
| oo
|
|
TTER
ear sie wet SC
ey A
| | « \secuerryc EGKED IN|
A @ \:.. - : ff,
“oe NX Shgnetens: YS
|"
0118123055_3,"| DON WOOD WORKS
_ ""4 PADAVARAD
OLLUR P.O., THRISSUR, KERALA
: Phone: 9072856764, 9447056764 Email: shonepackers@gmail.com
TAX INVOICE - CREDIT State: Kerala State Code: 32
GSTIN No: 32ADUPT3331J1Z8 Vehicle No: TN 23 AK 3553
Invoice No: 350 E-Way Bill No: 5010 7158 4755
Invoice Date: 06-12-2018 Purchase Order No/Date: 1100093780/1-12-2018
Shipped To: AMARARAJA BATTERIES LTD
Customer Details: AMARARAJA BATTERIES LTD 'PP
INDUSTRIAL BATTERY DIVISION PLANT -2 INDUSTRIAL BATTERY DIVISION PLANT -2
BANGARUPALAYAM,CHITOOR BANGARUPALAYAM,CHITOOR
State : Andhra Pradesh State Code : 37 State: CCC State Code :
SSTIN No: 37AABCA9264E1Z0 [Phone No. __—_—_|GSTIN No: 37AABCA9264E12O
Sl cael HSN Taxable Total
Description of Goods Rate
a emsmsenn | 2 | oS ff] re
PACKING CASE WOOD SAWN
OR CHIPPED ee
1 |27X3X1 (602-975-01023) 44079990| 5500-| 12.19)67045.00 18%|12068.10) 79113.10
2 SAE 3.5 X 1.25 - (602-985-| 44579999] 1100. | 27.15|29865.00 18%|5375.70| 35240.70
3 co) 2.5 - ( 602-904- | 44979990] 400, | 42.88]17152.00 18%|3087.36| 20239.36
4 ay all 440799901 500, | 12.86] 6430.00 18%|1157.40| 7587.40
5 ta 3.5 X 1.25 (602-985- | 449799901 500 | 28.80}14400.00 18%|2592.00| 16992.00
6 130 X 4 X 2.5 (602-904-65026) 44079990| 240 45.14] 10833.60 18%} 1950.05} 12783.65
7 |30X4X.75 (602-904-34026) 44079990} 500 13.54| 6770.00 18%]1218.60} 7988.60
8 pe X 1.25 (602-985- | 44979990 750 | 23.70|17775.00 18%|3199.50| 20974.50
| 9 136 X 3X3 -( 602-975-75030) 44079990| 500 48.75| 24375.00 18%|4387.50| 28762.50
fom soso] [masse] | |_| _|_35036.21] 2208.0
Invoice Value (In Words) Total Amount Before Tax 194645.60
Rupees Two Lakh Twenty Nine Thousand Six Hundred and Eighty Add:cGST. CCC
Two Only add:sest | 0
AddsIGSt eon 35036.21
Electronic Reference Number : MOTALGSIS stew 35036.21
Certified that the Particulars given above are true and correct Total Amount After Tax 229682.00
For DON WOOD WC
\ \
shored sig"
0118123055_4,"- ‘ a lap A — - me ER Race + witnisanillls
’
+
.
é / c /
.
on 2 5 2 »
’
‘
¢ - . - «
* t ‘+. :
4 ? = -
ay J 1 J : i m « —
* » sa"" ® ; : - ee ¢ -
‘ om i - 7 : tA 7 Nd - 4
: — a - ; . ‘*. » rat? 6
— 9 ¢ - . “ :
“ ‘ I 5 i 7 & ? bd « - ‘ * = — a
- a » : ‘ - é j ~
: ” . ins [ i 1 +
'
; : -, ‘eq }
< f ‘
. i . ; Zs =e
‘ i i 5
3 ry"" . 7
' Ay ro
2 : f ~T +, - ns -
s 7 - —_ ea
Niel . **
.
i 5 .
x
‘
. 2 ‘ - sted OFT ee"": *
j saat = . Tey TJ ' i
- ‘ - ° 5
i A) i
Ps ] ee ‘ea ; ;
‘ : . : 7 as ae — — a |
y “1 ‘- a
| ‘ ? : P ’ ’ a - 7
4 opr | SY yt) MAT or se 5
#
? j ° { oT Rg ul) pas '
L - 4 bed y 5 i }
Pa ~ £7 5 ee ; + * ; : |
j ~ + 7 ‘ \
: . - : . : : . ' t
- eth Lg 4 *.¥ .
- / . + . 4 “ ' d
i rd
a _
ae
: ™~
r
‘ .
a ae ae | ee ee é ‘ i { = Berta ‘
. 4
e
4 :
y x a : ‘ ea tt . ¥ -
4 . - se = ~ mE : se — +
' ad Lint, 8g lh ag : ” : y ’ - 1‘ - ose ne —
|!
é ‘ ‘ § 5 i 5
a
a pr fe _ :
4 . i , : + ’ : ¥ « i ee Oe - a — * 4 ye OF
a ater s .” ‘ :
‘
a —— * é «
: .
- ct j ‘ %
~ . : 4 « ‘ t ; , * « s
= - : e ¢ : x 3 b
- . i . ; + * °
— } ‘ { ; ‘ . é é § é 4 r
mel A A PN ~ — oe ~ - - —— - . - ~ - — te - - ~ - -_
-. a 4 .
: — -
as sr wusde = : : ‘ 7 = bb idenempeesy Ss 1p
+ eX — , = *
ri
$ ——_— = - ee = ~— _—
re = = ; ‘ ~ - . =F Sa »
Fy : '
sr rl -
.
. : .
: i .
-- ye ~ ne _ - —-— o—
4 en <
= ote tte - — A a “te
ee a : - ——s ne a ge - - — i gs gt 7 pe — —_ ~ = _— a. —
oe ‘ - ——* = see
- oe 7 a $ - it x <5 * 5 ets
. Se ew eS A ee ee ee + < . St je me
a ee
: : ~ a 5
Eee oo ee ne PSS ee ee CEE SSS SS SSS SS eS ee
“ eee he gS a te lies 7 ee
aa = eS ee « .
——— —_—_- — a a —_ a —— — _ —— —_—- - _ — — —.
# : ;
= ~ ~ ee a
—————$——___——_—____—_—— + - —_— ee —————-— oe ———$ Se — a z —— ——— _ ee = : = — =
= 6 Zz ag = = - - = = = -
es .
i = 7 — Z i . 7 ‘
7 z = om a ill - - . i ” = wr ‘
elk EE == — — ———_—__ --— - — _ = —_— —- — -- _——— a . re - —- = _
: = —— eS tie —— ia—anne ———— ——. as eras ar et - a —S SSS ee = — es =
= *"
